id,obstimeJST,type,geometry
nowc_20240913001000_20240913001000_liden_0,2024-09-13 09:05:16.490,0,POINT (134.472 38.043)
nowc_20240913001000_20240913001000_liden_1,2024-09-13 09:05:32.070,0,POINT (126.876 24.375)
nowc_20240913001000_20240913001000_liden_2,2024-09-13 09:05:56.200,1,POINT (129.211 27.191)
nowc_20240913001000_20240913001000_liden_3,2024-09-13 09:05:57.840,1,POINT (127.249 25.707)
nowc_20240913001000_20240913001000_liden_4,2024-09-13 09:06:01.550,0,POINT (145.795 38.691)
nowc_20240913001000_20240913001000_liden_5,2024-09-13 09:06:04.480,0,POINT (126.472 23.918)
nowc_20240913001000_20240913001000_liden_6,2024-09-13 09:06:29.430,0,POINT (134.151 38.186)
nowc_20240913001000_20240913001000_liden_7,2024-09-13 09:06:35.530,0,POINT (129.535 26.664)
nowc_20240913001000_20240913001000_liden_8,2024-09-13 09:07:51.890,0,POINT (145.789 38.698)
nowc_20240913001000_20240913001000_liden_9,2024-09-13 09:08:00.380,0,POINT (129.247 27.207)
nowc_20240913001000_20240913001000_liden_10,2024-09-13 09:08:10.870,0,POINT (129.131 27.7)
nowc_20240913001000_20240913001000_liden_11,2024-09-13 09:08:21.550,1,POINT (126.46 23.918)
nowc_20240913001000_20240913001000_liden_12,2024-09-13 09:08:25.570,0,POINT (129.519 26.663)
nowc_20240913001000_20240913001000_liden_13,2024-09-13 09:09:00.760,0,POINT (129.515 26.68)
nowc_20240913001000_20240913001000_liden_14,2024-09-13 09:09:17.980,1,POINT (129.203 27.194)
nowc_20240913001000_20240913001000_liden_15,2024-09-13 09:09:51.830,1,POINT (129.102 27.699)
nowc_20240913001000_20240913001000_liden_16,2024-09-13 09:05:02.210,4,POINT (126.548 24.055)
nowc_20240913001000_20240913001000_liden_17,2024-09-13 09:05:14.300,4,POINT (145.776 38.688)
nowc_20240913001000_20240913001000_liden_18,2024-09-13 09:05:16.490,4,POINT (134.429 38.039)
nowc_20240913001000_20240913001000_liden_19,2024-09-13 09:05:16.490,4,POINT (134.611 38.021)
nowc_20240913001000_20240913001000_liden_20,2024-09-13 09:05:20.970,4,POINT (145.793 38.686)
nowc_20240913001000_20240913001000_liden_21,2024-09-13 09:05:56.200,4,POINT (129.22 27.195)
nowc_20240913001000_20240913001000_liden_22,2024-09-13 09:06:01.540,4,POINT (145.787 38.684)
nowc_20240913001000_20240913001000_liden_23,2024-09-13 09:06:04.480,4,POINT (126.476 23.912)
nowc_20240913001000_20240913001000_liden_24,2024-09-13 09:06:12.030,4,POINT (126.56 23.969)
nowc_20240913001000_20240913001000_liden_25,2024-09-13 09:06:29.430,4,POINT (133.88 38.202)
nowc_20240913001000_20240913001000_liden_26,2024-09-13 09:06:35.190,4,POINT (145.785 38.688)
nowc_20240913001000_20240913001000_liden_27,2024-09-13 09:07:40.960,4,POINT (145.795 38.67)
nowc_20240913001000_20240913001000_liden_28,2024-09-13 09:07:41.560,4,POINT (145.777 38.702)
nowc_20240913001000_20240913001000_liden_29,2024-09-13 09:08:00.380,4,POINT (129.204 27.197)
nowc_20240913001000_20240913001000_liden_30,2024-09-13 09:08:07.380,4,POINT (126.856 24.378)
nowc_20240913001000_20240913001000_liden_31,2024-09-13 09:08:10.680,4,POINT (129.138 27.696)
nowc_20240913001000_20240913001000_liden_32,2024-09-13 09:08:15.790,4,POINT (134.435 38.26)
nowc_20240913001000_20240913001000_liden_33,2024-09-13 09:09:00.840,4,POINT (126.962 24.298)
nowc_20240913001000_20240913001000_liden_34,2024-09-13 09:09:19.490,4,POINT (127.216 25.704)
nowc_20240913001000_20240913001000_liden_35,2024-09-13 09:09:25.330,4,POINT (134.39 38.258)
nowc_20240913001000_20240913001000_liden_36,2024-09-13 09:09:32.170,4,POINT (145.829 38.687)
nowc_20240913001000_20240913001000_liden_37,2024-09-13 09:09:47.250,4,POINT (126.885 24.363)
nowc_20240913001000_20240913001000_liden_38,2024-09-13 09:09:56.310,4,POINT (145.812 38.704)
nowc_20240913002500_20240913002500_liden_0,2024-09-13 09:20:45.960000,1,POINT (128.348 26.738)
nowc_20240913002500_20240913002500_liden_1,2024-09-13 09:20:54.140000,1,POINT (129.026 27.7)
nowc_20240913002500_20240913002500_liden_2,2024-09-13 09:21:22.330000,0,POINT (126.953 24.171)
nowc_20240913002500_20240913002500_liden_3,2024-09-13 09:21:32.360000,0,POINT (129.203 26.753)
nowc_20240913002500_20240913002500_liden_4,2024-09-13 09:21:54.840000,0,POINT (145.793 38.629)
nowc_20240913002500_20240913002500_liden_5,2024-09-13 09:22:47.640000,1,POINT (129.42 26.651)
nowc_20240913002500_20240913002500_liden_6,2024-09-13 09:23:02.960000,0,POINT (129.112 27.171)
nowc_20240913002500_20240913002500_liden_7,2024-09-13 09:23:22.010000,0,POINT (128.987 27.667)
nowc_20240913002500_20240913002500_liden_8,2024-09-13 09:23:59.640000,0,POINT (126.803 24.309)
nowc_20240913002500_20240913002500_liden_9,2024-09-13 09:24:19.160000,0,POINT (126.672 24.537)
nowc_20240913002500_20240913002500_liden_10,2024-09-13 09:24:41.250000,0,POINT (126.53 24.121)
nowc_20240913002500_20240913002500_liden_11,2024-09-13 09:20:06.580000,4,POINT (126.838 24.306)
nowc_20240913002500_20240913002500_liden_12,2024-09-13 09:20:18.820000,4,POINT (145.814 38.622)
nowc_20240913002500_20240913002500_liden_13,2024-09-13 09:20:19.360000,4,POINT (145.823 38.597)
nowc_20240913002500_20240913002500_liden_14,2024-09-13 09:20:21.020000,4,POINT (126.433 23.931)
nowc_20240913002500_20240913002500_liden_15,2024-09-13 09:21:17.730000,4,POINT (126.798 24.376)
nowc_20240913002500_20240913002500_liden_16,2024-09-13 09:21:21.320000,4,POINT (127.149 25.627)
nowc_20240913002500_20240913002500_liden_17,2024-09-13 09:21:22.330000,4,POINT (126.883 24.241)
nowc_20240913002500_20240913002500_liden_18,2024-09-13 09:21:37.220000,4,POINT (126.838 24.318)
nowc_20240913002500_20240913002500_liden_19,2024-09-13 09:21:54.840000,4,POINT (145.856 38.616)
nowc_20240913002500_20240913002500_liden_20,2024-09-13 09:22:01.710000,4,POINT (128.134 27.038)
nowc_20240913002500_20240913002500_liden_21,2024-09-13 09:22:43.960000,4,POINT (126.572 24.097)
nowc_20240913002500_20240913002500_liden_22,2024-09-13 09:22:45.840000,4,POINT (127.14 25.622)
nowc_20240913002500_20240913002500_liden_23,2024-09-13 09:22:47.640000,4,POINT (129.42 26.649)
nowc_20240913002500_20240913002500_liden_24,2024-09-13 09:22:56.610000,4,POINT (126.833 24.324)
nowc_20240913002500_20240913002500_liden_25,2024-09-13 09:22:57.370000,4,POINT (145.914 38.621)
nowc_20240913002500_20240913002500_liden_26,2024-09-13 09:23:10.370000,4,POINT (126.553 24.095)
nowc_20240913002500_20240913002500_liden_27,2024-09-13 09:23:17.350000,4,POINT (126.792 24.338)
nowc_20240913002500_20240913002500_liden_28,2024-09-13 09:23:24.460000,4,POINT (128.134 27.046)
nowc_20240913002500_20240913002500_liden_29,2024-09-13 09:23:24.710000,4,POINT (128.265 27.07)
nowc_20240913002500_20240913002500_liden_30,2024-09-13 09:23:24.820000,4,POINT (128.131 27.046)
nowc_20240913002500_20240913002500_liden_31,2024-09-13 09:23:32.160000,4,POINT (126.564 24.098)
nowc_20240913002500_20240913002500_liden_32,2024-09-13 09:23:41.180000,4,POINT (126.798 24.322)
nowc_20240913002500_20240913002500_liden_33,2024-09-13 09:23:48.220000,4,POINT (146.046 38.72)
nowc_20240913002500_20240913002500_liden_34,2024-09-13 09:23:59.680000,4,POINT (126.801 24.312)
nowc_20240913002500_20240913002500_liden_35,2024-09-13 09:24:19.130000,4,POINT (126.693 24.547)
nowc_20240913002500_20240913002500_liden_36,2024-09-13 09:24:19.750000,4,POINT (126.696 24.537)
nowc_20240913002500_20240913002500_liden_37,2024-09-13 09:24:22.140000,4,POINT (145.871 38.596)
nowc_20240913002500_20240913002500_liden_38,2024-09-13 09:24:22.340000,4,POINT (145.995 38.629)
nowc_20240913002500_20240913002500_liden_39,2024-09-13 09:24:24.770000,4,POINT (126.551 24.09)
nowc_20240913002500_20240913002500_liden_40,2024-09-13 09:24:41.330000,4,POINT (126.539 24.108)
nowc_20240913002500_20240913002500_liden_41,2024-09-13 09:24:51.930000,4,POINT (126.544 24.103)
nowc_20240913003500_20240913003500_liden_0,2024-09-13 09:30:05.360000,1,POINT (128.984 27.106)
nowc_20240913003500_20240913003500_liden_1,2024-09-13 09:30:32.350000,1,POINT (129.365 26.645)
nowc_20240913003500_20240913003500_liden_2,2024-09-13 09:30:47.240000,0,POINT (126.773 24.3)
nowc_20240913003500_20240913003500_liden_3,2024-09-13 09:30:51.630000,0,POINT (127.211 25.892)
nowc_20240913003500_20240913003500_liden_4,2024-09-13 09:30:58,0,POINT (129.031 27.126)
nowc_20240913003500_20240913003500_liden_5,2024-09-13 09:31:40.920000,1,POINT (124.768 25.21)
nowc_20240913003500_20240913003500_liden_6,2024-09-13 09:32:07.630000,0,POINT (126.916 24.112)
nowc_20240913003500_20240913003500_liden_7,2024-09-13 09:32:09.990000,0,POINT (134.111 37.83)
nowc_20240913003500_20240913003500_liden_8,2024-09-13 09:32:19.280000,0,POINT (128.901 27.622)
nowc_20240913003500_20240913003500_liden_9,2024-09-13 09:32:29.310000,1,POINT (129.35 26.632)
nowc_20240913003500_20240913003500_liden_10,2024-09-13 09:32:36.670000,1,POINT (129.112 27.12)
nowc_20240913003500_20240913003500_liden_11,2024-09-13 09:32:41.330000,0,POINT (124.797 25.207)
nowc_20240913003500_20240913003500_liden_12,2024-09-13 09:33:03.520000,1,POINT (127.184 25.909)
nowc_20240913003500_20240913003500_liden_13,2024-09-13 09:33:21.240000,0,POINT (128.898 27.616)
nowc_20240913003500_20240913003500_liden_14,2024-09-13 09:33:23.560000,0,POINT (126.914 24.099)
nowc_20240913003500_20240913003500_liden_15,2024-09-13 09:33:56.230000,1,POINT (124.776 25.203)
nowc_20240913003500_20240913003500_liden_16,2024-09-13 09:33:57.860000,0,POINT (126.462 24.088)
nowc_20240913003500_20240913003500_liden_17,2024-09-13 09:34:25.480000,0,POINT (124.716 25.245)
nowc_20240913003500_20240913003500_liden_18,2024-09-13 09:34:36.460000,1,POINT (126.901 24.097)
nowc_20240913003500_20240913003500_liden_19,2024-09-13 09:34:39.670000,1,POINT (128.941 27.082)
nowc_20240913003500_20240913003500_liden_20,2024-09-13 09:34:49.890000,1,POINT (129.047 27.171)
nowc_20240913003500_20240913003500_liden_21,2024-09-13 09:30:32.360000,4,POINT (129.353 26.654)
nowc_20240913003500_20240913003500_liden_22,2024-09-13 09:30:46.940000,4,POINT (145.971 38.651)
nowc_20240913003500_20240913003500_liden_23,2024-09-13 09:30:47.140000,4,POINT (146.099 38.619)
nowc_20240913003500_20240913003500_liden_24,2024-09-13 09:30:47.900000,4,POINT (146.013 38.644)
nowc_20240913003500_20240913003500_liden_25,2024-09-13 09:30:51.840000,4,POINT (127.231 25.857)
nowc_20240913003500_20240913003500_liden_26,2024-09-13 09:30:57.010000,4,POINT (144.981 38.474)
nowc_20240913003500_20240913003500_liden_27,2024-09-13 09:30:57.990000,4,POINT (129.112 27.177)
nowc_20240913003500_20240913003500_liden_28,2024-09-13 09:31:33.960000,4,POINT (126.74 24.339)
nowc_20240913003500_20240913003500_liden_29,2024-09-13 09:32:09.990000,4,POINT (134.125 37.834)
nowc_20240913003500_20240913003500_liden_30,2024-09-13 09:32:19.280000,4,POINT (128.907 27.68)
nowc_20240913003500_20240913003500_liden_31,2024-09-13 09:32:29.310000,4,POINT (129.339 26.639)
nowc_20240913003500_20240913003500_liden_32,2024-09-13 09:32:36.690000,4,POINT (129.061 27.158)
