id,obstimeJST,type,geometry
nowc_20240809000000_20240809000000_liden_0,2024-08-09 08:55:47.250,0,POINT (130.916 23.494)
nowc_20240809000000_20240809000000_liden_1,2024-08-09 08:56:02.610,0,POINT (144.447 38.446)
nowc_20240809000000_20240809000000_liden_2,2024-08-09 08:56:50.260,0,POINT (128.149 23.776)
nowc_20240809000000_20240809000000_liden_3,2024-08-09 08:57:48.420,0,POINT (144.91 38.978)
nowc_20240809000000_20240809000000_liden_4,2024-08-09 08:57:53.570,0,POINT (124.74 26.525)
nowc_20240809000000_20240809000000_liden_5,2024-08-09 08:58:28.150,1,POINT (128.192 23.699)
nowc_20240809000000_20240809000000_liden_6,2024-08-09 08:59:16.250,1,POINT (128.22 23.848)
nowc_20240809000000_20240809000000_liden_7,2024-08-09 08:59:17.260,0,POINT (128.103 23.759)
nowc_20240809000000_20240809000000_liden_8,2024-08-09 08:59:25.320,0,POINT (130.907 34.643)
nowc_20240809000000_20240809000000_liden_9,2024-08-09 08:59:26.760,0,POINT (127.991 22.928)
nowc_20240809000000_20240809000000_liden_10,2024-08-09 08:59:49.870,0,POINT (128.799 23.348)
nowc_20240809000000_20240809000000_liden_11,2024-08-09 08:59:58.250,0,POINT (124.715 26.525)
nowc_20240809000000_20240809000000_liden_12,2024-08-09 08:55:00.820,4,POINT (126.871 31.299)
nowc_20240809000000_20240809000000_liden_13,2024-08-09 08:55:11.640,4,POINT (132.226 22.991)
nowc_20240809000000_20240809000000_liden_14,2024-08-09 08:55:11.740,4,POINT (132.267 22.934)
nowc_20240809000000_20240809000000_liden_15,2024-08-09 08:55:16.170,4,POINT (126.986 31.295)
nowc_20240809000000_20240809000000_liden_16,2024-08-09 08:55:17.690,4,POINT (126.142 25.263)
nowc_20240809000000_20240809000000_liden_17,2024-08-09 08:55:21.030,4,POINT (128.146 23.779)
nowc_20240809000000_20240809000000_liden_18,2024-08-09 08:55:26.560,4,POINT (144.083 35.035)
nowc_20240809000000_20240809000000_liden_19,2024-08-09 08:55:30.400,4,POINT (126.816 31.302)
nowc_20240809000000_20240809000000_liden_20,2024-08-09 08:55:37.770,4,POINT (128.05 23.053)
nowc_20240809000000_20240809000000_liden_21,2024-08-09 08:55:38.730,4,POINT (128.828 23.335)
nowc_20240809000000_20240809000000_liden_22,2024-08-09 08:55:47.250,4,POINT (130.908 23.508)
nowc_20240809000000_20240809000000_liden_23,2024-08-09 08:55:48.330,4,POINT (126.857 31.294)
