id,obstimeJST,type,geometry
nowc_20240904001000_20240904001000_liden_0,2024-09-04 09:05:06.650,1,POINT (135.372 29.572)
nowc_20240904001000_20240904001000_liden_1,2024-09-04 09:05:53.350,0,POINT (144.545 38.845)
nowc_20240904001000_20240904001000_liden_2,2024-09-04 09:06:56.060,0,POINT (131.13 24.217)
nowc_20240904001000_20240904001000_liden_3,2024-09-04 09:06:56.720,1,POINT (136.541 33.141)
nowc_20240904001000_20240904001000_liden_4,2024-09-04 09:07:23.640,0,POINT (144.613 38.841)
nowc_20240904001000_20240904001000_liden_5,2024-09-04 09:07:44.070,0,POINT (135.388 29.558)
nowc_20240904001000_20240904001000_liden_6,2024-09-04 09:07:57.740,1,POINT (134.892 32.528)
nowc_20240904001000_20240904001000_liden_7,2024-09-04 09:08:05.910,0,POINT (129.017 26.584)
nowc_20240904001000_20240904001000_liden_8,2024-09-04 09:08:06.260,0,POINT (128.901 26.501)
nowc_20240904001000_20240904001000_liden_9,2024-09-04 09:08:52.360,0,POINT (135.059 29.034)
nowc_20240904001000_20240904001000_liden_10,2024-09-04 09:09:27.270,0,POINT (131.068 24.14)
nowc_20240904001000_20240904001000_liden_11,2024-09-04 09:05:53.010,4,POINT (130.794 24.012)
nowc_20240904001000_20240904001000_liden_12,2024-09-04 09:05:53.350,4,POINT (144.587 38.856)
nowc_20240904001000_20240904001000_liden_13,2024-09-04 09:06:56.070,4,POINT (131.135 24.23)
nowc_20240904001000_20240904001000_liden_14,2024-09-04 09:07:34.930,4,POINT (130.77 24.029)
nowc_20240904001000_20240904001000_liden_15,2024-09-04 09:07:44.070,4,POINT (135.397 29.553)
nowc_20240904001000_20240904001000_liden_16,2024-09-04 09:08:05.920,4,POINT (129.018 26.595)
nowc_20240904001000_20240904001000_liden_17,2024-09-04 09:08:06.300,4,POINT (146.379 38.079)
nowc_20240904001000_20240904001000_liden_18,2024-09-04 09:08:06.740,4,POINT (128.902 26.503)
nowc_20240904001000_20240904001000_liden_19,2024-09-04 09:09:12.370,4,POINT (129.012 26.585)
nowc_20240904001000_20240904001000_liden_20,2024-09-04 09:09:27.270,4,POINT (131.003 24.192)
nowc_20240904001000_20240904001000_liden_21,2024-09-04 09:09:27.790,4,POINT (131.06 24.21)
nowc_20240904001000_20240904001000_liden_22,2024-09-04 09:09:34.260,4,POINT (135.291 29.55)
nowc_20240904002500_20240904002500_liden_0,2024-09-04 09:20:27.670000,1,POINT (129.042 26.592)
nowc_20240904002500_20240904002500_liden_1,2024-09-04 09:20:45.870000,0,POINT (144.14 38.505)
nowc_20240904002500_20240904002500_liden_2,2024-09-04 09:21:30.750000,0,POINT (129.042 26.6)
nowc_20240904002500_20240904002500_liden_3,2024-09-04 09:22:07.780000,1,POINT (138.87 32.075)
nowc_20240904002500_20240904002500_liden_4,2024-09-04 09:22:10.840000,0,POINT (129.026 26.589)
nowc_20240904002500_20240904002500_liden_5,2024-09-04 09:23:19.280000,1,POINT (129.033 26.588)
nowc_20240904002500_20240904002500_liden_6,2024-09-04 09:20:27.680000,4,POINT (129.049 26.593)
nowc_20240904002500_20240904002500_liden_7,2024-09-04 09:20:28.690000,4,POINT (128.851 26.48)
nowc_20240904002500_20240904002500_liden_8,2024-09-04 09:21:32.970000,4,POINT (119.604 21.747)
nowc_20240904002500_20240904002500_liden_9,2024-09-04 09:21:40.760000,4,POINT (135.48 29.596)
nowc_20240904002500_20240904002500_liden_10,2024-09-04 09:22:10.730000,4,POINT (129.002 26.574)
nowc_20240904002500_20240904002500_liden_11,2024-09-04 09:23:13.360000,4,POINT (138.903 32.104)
nowc_20240904002500_20240904002500_liden_12,2024-09-04 09:23:18.510000,4,POINT (135.408 29.604)
nowc_20240904002500_20240904002500_liden_13,2024-09-04 09:23:19.290000,4,POINT (129.023 26.596)
nowc_20240904002500_20240904002500_liden_14,2024-09-04 09:23:58.650000,4,POINT (138.891 32.118)
nowc_20240904002500_20240904002500_liden_15,2024-09-04 09:24:49.080000,4,POINT (130.759 24.063)
nowc_20240904002500_20240904002500_liden_16,2024-09-04 09:24:49.130000,4,POINT (130.834 24.005)
nowc_20240904002500_20240904002500_liden_17,2024-09-04 09:24:49.130000,4,POINT (130.752 24.067)
nowc_20240904003500_20240904003500_liden_0,2024-09-04 09:31:59.060000,1,POINT (136.708 32.613)
nowc_20240904003500_20240904003500_liden_1,2024-09-04 09:32:01.910000,0,POINT (135.61 29.435)
nowc_20240904003500_20240904003500_liden_2,2024-09-04 09:32:21.770000,1,POINT (128.991 26.524)
nowc_20240904003500_20240904003500_liden_3,2024-09-04 09:33:59.050000,0,POINT (138.909 32.045)
nowc_20240904003500_20240904003500_liden_4,2024-09-04 09:33:59.050000,1,POINT (138.888 32.112)
nowc_20240904003500_20240904003500_liden_5,2024-09-04 09:33:59.050000,0,POINT (138.906 32.042)
nowc_20240904003500_20240904003500_liden_6,2024-09-04 09:33:59.050000,0,POINT (138.868 32.109)
nowc_20240904003500_20240904003500_liden_7,2024-09-04 09:32:01.910000,4,POINT (135.601 29.441)
nowc_20240904003500_20240904003500_liden_8,2024-09-04 09:33:59.060000,4,POINT (138.857 32.122)
nowc_20240904004500_20240904004500_liden_0,2024-09-04 09:41:59.960000,0,POINT (128.684 26.32)
nowc_20240904004500_20240904004500_liden_1,2024-09-04 09:42:48.770000,0,POINT (136.541 32.543)
nowc_20240904004500_20240904004500_liden_2,2024-09-04 09:42:56.990000,1,POINT (128.984 26.568)
nowc_20240904004500_20240904004500_liden_3,2024-09-04 09:44:28.560000,0,POINT (136.549 32.54)
nowc_20240904004500_20240904004500_liden_4,2024-09-04 09:44:43.800000,0,POINT (136.823 33.938)
nowc_20240904004500_20240904004500_liden_5,2024-09-04 09:42:31.370000,4,POINT (146.462 38.12)
nowc_20240904005000_20240904005000_liden_0,2024-09-04 09:45:17.310000,0,POINT (128.651 26.296)
nowc_20240904005000_20240904005000_liden_1,2024-09-04 09:45:58.350000,1,POINT (136.545 32.527)
nowc_20240904005000_20240904005000_liden_2,2024-09-04 09:46:00.190000,0,POINT (145.077 38.867)
nowc_20240904005000_20240904005000_liden_3,2024-09-04 09:45:17.390000,4,POINT (128.66 26.311)
nowc_20240904005000_20240904005000_liden_4,2024-09-04 09:45:58.350000,4,POINT (136.537 32.54)
nowc_20240904005000_20240904005000_liden_5,2024-09-04 09:46:00.190000,4,POINT (145.074 38.873)
nowc_20240904005000_20240904005000_liden_6,2024-09-04 09:47:43.650000,4,POINT (135.138 28.941)
nowc_20240904011500_20240904011500_liden_0,2024-09-04 10:13:27.440000,0,POINT (143.381 37.893)
nowc_20240904011500_20240904011500_liden_1,2024-09-04 10:14:05.990000,0,POINT (144.872 38.794)
nowc_20240904011500_20240904011500_liden_2,2024-09-04 10:10:11.160000,4,POINT (146.755 38.41)
nowc_20240904011500_20240904011500_liden_3,2024-09-04 10:11:08.310000,4,POINT (139.05 32.084)
nowc_20240904011500_20240904011500_liden_4,2024-09-04 10:13:16.860000,4,POINT (139.073 32.081)
nowc_20240904011500_20240904011500_liden_5,2024-09-04 10:14:06.140000,4,POINT (144.871 38.769)
nowc_20240904013000_20240904013000_liden_0,2024-09-04 10:25:28.100000,0,POINT (129.473 27.174)
nowc_20240904013000_20240904013000_liden_1,2024-09-04 10:26:52.300000,0,POINT (134.268 32.463)
nowc_20240904013000_20240904013000_liden_2,2024-09-04 10:26:59.680000,1,POINT (129.144 26.483)
nowc_20240904013000_20240904013000_liden_3,2024-09-04 10:27:12.020000,0,POINT (136.48 33.111)
nowc_20240904013000_20240904013000_liden_4,2024-09-04 10:28:28.720000,1,POINT (136.412 33.101)
