id,obstimeJST,type,geometry
nowc_20240822001000_20240822001000_liden_0,2024-08-22 09:05:21.640,0,POINT (130.228 29.277)
nowc_20240822001000_20240822001000_liden_1,2024-08-22 09:05:22.630,0,POINT (130.17 29.064)
nowc_20240822001000_20240822001000_liden_2,2024-08-22 09:08:07.860,0,POINT (130.353 29.161)
nowc_20240822001000_20240822001000_liden_3,2024-08-22 09:08:07.900,0,POINT (130.288 29.27)
nowc_20240822001000_20240822001000_liden_4,2024-08-22 09:08:30.620,1,POINT (129.18 34.057)
nowc_20240822001000_20240822001000_liden_5,2024-08-22 09:08:30.630,1,POINT (129.286 34.021)
nowc_20240822001000_20240822001000_liden_6,2024-08-22 09:05:21.640,4,POINT (130.359 29.417)
nowc_20240822001000_20240822001000_liden_7,2024-08-22 09:05:22.340,4,POINT (130.442 29.332)
nowc_20240822001000_20240822001000_liden_8,2024-08-22 09:05:22.540,4,POINT (130.18 29.151)
nowc_20240822001000_20240822001000_liden_9,2024-08-22 09:05:22.570,4,POINT (130.249 29.104)
nowc_20240822001000_20240822001000_liden_10,2024-08-22 09:05:22.580,4,POINT (130.18 29.151)
nowc_20240822001000_20240822001000_liden_11,2024-08-22 09:05:29.110,4,POINT (129.216 34.014)
nowc_20240822001000_20240822001000_liden_12,2024-08-22 09:06:20.580,4,POINT (129.204 34.028)
nowc_20240822001000_20240822001000_liden_13,2024-08-22 09:06:48.750,4,POINT (130.3 29.276)
nowc_20240822001000_20240822001000_liden_14,2024-08-22 09:08:07.270,4,POINT (130.263 29.326)
nowc_20240822001000_20240822001000_liden_15,2024-08-22 09:08:08.200,4,POINT (130.317 29.236)
nowc_20240822001000_20240822001000_liden_16,2024-08-22 09:08:08.350,4,POINT (130.304 29.173)
nowc_20240822001000_20240822001000_liden_17,2024-08-22 09:08:30.620,4,POINT (129.207 34.039)
nowc_20240822001000_20240822001000_liden_18,2024-08-22 09:08:30.640,4,POINT (129.077 34.103)
nowc_20240822001000_20240822001000_liden_19,2024-08-22 09:09:15.850,4,POINT (135.206 40.661)
nowc_20240822001000_20240822001000_liden_20,2024-08-22 09:09:41.120,4,POINT (126.359 34.458)
nowc_20240822002000_20240822002000_liden_0,2024-08-22 09:15:33.920000,0,POINT (130.579 29.346)
nowc_20240822002000_20240822002000_liden_1,2024-08-22 09:16:34,0,POINT (129.318 34.061)
nowc_20240822002000_20240822002000_liden_2,2024-08-22 09:16:58.920000,1,POINT (130.538 29.33)
nowc_20240822002000_20240822002000_liden_3,2024-08-22 09:16:59.170000,1,POINT (130.461 29.346)
nowc_20240822002000_20240822002000_liden_4,2024-08-22 09:17:51.960000,0,POINT (129.25 34.091)
nowc_20240822002000_20240822002000_liden_5,2024-08-22 09:18:03.500000,1,POINT (130.568 29.341)
nowc_20240822002000_20240822002000_liden_6,2024-08-22 09:19:08.250000,1,POINT (129.259 34.105)
nowc_20240822002000_20240822002000_liden_7,2024-08-22 09:19:36.490000,0,POINT (130.55 29.345)
nowc_20240822002000_20240822002000_liden_8,2024-08-22 09:15:33.940000,4,POINT (130.598 29.363)
